1.174,1.5368,3.8207
1.2066,1.5505,3.8324
1.2393,1.5641,3.8442
1.2719,1.5778,3.8559
1.3046,1.5915,3.8677
1.3372,1.6051,3.8794
1.3699,1.6188,3.8911
1.4026,1.6324,3.9029
1.4352,1.6461,3.9146
1.4679,1.6598,3.9264
1.5005,1.6734,3.9381
1.5332,1.6871,3.9498
1.5658,1.7007,3.9616
1.5985,1.7144,3.9733
1.6312,1.7281,3.9851
1.6638,1.7417,3.9968
1.6965,1.7554,4.0085
1.7291,1.7691,4.0203
1.7618,1.7827,4.032
1.7945,1.7964,4.0438
1.8271,1.81,4.0555
1.8598,1.8237,4.0672
1.8924,1.8374,4.079
1.9251,1.851,4.0907
1.9577,1.8647,4.1025
1.9904,1.8783,4.1142
2.0231,1.892,4.1259
2.0557,1.9057,4.1377
2.0884,1.9193,4.1494
2.121,1.933,4.1612
2.1537,1.9466,4.1729
2.1863,1.9603,4.1846
2.219,1.974,4.1964
2.2517,1.9876,4.2081
2.2843,2.0013,4.2199
2.317,2.0149,4.2316
2.3496,2.0286,4.2433
2.3823,2.0423,4.2551
2.4149,2.0559,4.2668
2.4476,2.0696,4.2785
2.4803,2.0832,4.2903
2.5129,2.0969,4.302
2.5456,2.1106,4.3138
2.5782,2.1242,4.3255
2.6109,2.1379,4.3372
2.6435,2.1515,4.349
2.6762,2.1652,4.3607
2.7089,2.1789,4.3725
2.7415,2.1925,4.3842
2.7742,2.2062,4.3959
2.8068,2.2199,4.4077
