1.174,1.5368,3.8207,15
1.2066,1.5505,3.8324,15
1.2393,1.5641,3.8442,15
1.2719,1.5778,3.8559,15
1.3046,1.5915,3.8677,15
1.3372,1.6051,3.8794,15
1.3699,1.6188,3.8911,15
1.4026,1.6324,3.9029,15
1.4352,1.6461,3.9146,15
1.4679,1.6598,3.9264,15
1.5005,1.6734,3.9381,15
1.5332,1.6871,3.9498,15
1.5658,1.7007,3.9616,15
1.5985,1.7144,3.9733,15
1.6312,1.7281,3.9851,15
1.6638,1.7417,3.9968,15
1.6965,1.7554,4.0085,15
1.7291,1.769,4.0203,15
1.7618,1.7827,4.032,15
1.7945,1.7964,4.0438,15
1.8271,1.81,4.0555,15
1.8598,1.8237,4.0672,15
1.8924,1.8374,4.079,15
1.9251,1.851,4.0907,15
1.9577,1.8647,4.1025,15
1.9904,1.8783,4.1142,15
2.0231,1.892,4.1259,15
2.0557,1.9057,4.1377,15
2.0884,1.9193,4.1494,15
2.121,1.933,4.1612,15
2.1537,1.9466,4.1729,15
2.1863,1.9603,4.1846,15
2.219,1.974,4.1964,15
2.2517,1.9876,4.2081,15
2.2843,2.0013,4.2199,15
2.317,2.0149,4.2316,15
2.3496,2.0286,4.2433,15
2.3823,2.0423,4.2551,15
2.4149,2.0559,4.2668,15
2.4476,2.0696,4.2785,15
2.4803,2.0832,4.2903,15
2.5129,2.0969,4.302,15
2.5456,2.1106,4.3138,15
2.5782,2.1242,4.3255,15
2.6109,2.1379,4.3372,15
2.6435,2.1515,4.349,15
2.6762,2.1652,4.3607,15
2.7089,2.1789,4.3725,15
2.7415,2.1925,4.3842,15
2.7742,2.2062,4.3959,15
2.8068,2.2199,4.4077,15
